Team,"Historic Score 

as of 2017/18","Historic score
Feat Scale
as of 2017/18","Average Odds
HomeWin 2018/19",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2018/19","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds
ALL","Back ""H""
if aggr. weighted
over Historic","WINS
Median Odds
ALL","SMALL spread
spec. bets
using
""great Odds""","BIG spread
spec. bets
using ""great Odds""","SMALL spread
spec. bets
using
small spred odds",Higher Than Pinnacle,
Paderborn,56,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
RB Leipzig,116,"1,15","1,83","1,57","1,70","0,59","2,35",,,,,"-1,29","-1,000","-1,29","3,71","0,00","-1,29","2,01",12
Schalke 04,734,"1,93","2,65","2,10","2,38","0,24","1,99",,,,,"-10,00","-7,813","-10,015","-7,02","0,00","-10,02","0,5225",14
St Pauli,56,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Stuttgart,655,"1,83","3,43","2,90","3,16","0,35","2,01",,,,,"-0,57","-0,295","-0,58","3,42","-1,00","0,42",-1,13
Union Berlin,16,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Werder Bremen,696,"1,88","2,45","2,05","2,25","0,47","1,91",,,,,"-1,49","0,272","-1,475","-0,48","0,00","-0,48","0,76",16
Wolfsburg,664,"1,84","2,66","2,15","2,40","0,47","1,92",,,,,"-3,90","-4,713","-3,89","-1,89","0,00","-2,89","0,7275",15
Heidenheim,16,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
,,,,,,,,,,,,"-28,22","-16,99","-28,03","31,97","-4,00","-13,03","-4,73","246,00"
