Team,"Historic Score 

as of 2018/19","Historic score
Feat Scale
as of 2018/19","Average Odds
HomeWin 2019/20",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2018/19","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
small-spread Odds","BIG spread
spec. bets
using ""great Odds""","""SMALL spread
spec. bets
using
small spred odds""",Higher Than Pinnacle,
Fortuna Dusseldorf,106,"1,13","3,99","2,75","3,37","0,24","2,56",,,,,"-6,29","-4,958","-6,315","-4,32","-1,00","-5,32",-1,15
Freiburg,454,"1,54","3,35","2,55","2,95","0,53","2,01",,,,,"6,38","6,565","6,38","10,38","0,00","7,38","0,685",13
Greuther Furth,57,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Hamburg,668,"1,79","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Hannover,642,"1,76","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Hertha,630,"1,75","2,96","2,35","2,66","0,35","1,99",,,,,"-2,28","-2,275","-2,25","-0,25","0,00","-2,25",-1,15
Hoffenheim,471,"1,56","2,75","2,35","2,55","0,41","2,08",,,,,"0,08","2,163","0,075","2,08","0,00","1,08",-2,15
Ingolstadt,97,"1,12","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Kaiserslautern,243,"1,29","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Karlsruhe,97,"1,12","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Leverkusen,771,"1,92","1,94","1,57","1,75","0,53","1,90",,,,,"-3,41","0,060","-3,405","3,60","0,00","-2,41",-1,10
Mainz,540,"1,64","3,59","2,75","3,17","0,29","2,07",,,,,"-4,88","-4,883","-4,895","-0,90","0,00","-4,90","0,38",13
Mgladbach,668,"1,79","2,10","1,72","1,91","0,71","1,77",,,,,"6,25","6,000","6,23","9,23","0,00","7,23",-1,14
Munich 1860,90,"1,11","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Nurnberg,453,"1,54","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Paderborn,65,"1,08","4,81","3,17","3,99","0,12","2,66",,,,,"-11,16","-9,163","-11,175","-8,18","-1,00","-9,18",-2,14
RB Leipzig,164,"1,19","1,57","1,37","1,47","0,41","2,04",,,,,"-7,58","-1,000","-7,585","-1,59","0,00","-7,59","-0,6475",11
Schalke 04,771,"1,92","2,91","2,13","2,52","0,29","1,84",,,,,"-6,90","-3,553","-6,925","-5,93","0,00","-6,93","-0,345",16
St Pauli,57,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Stuttgart,690,"1,82","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Union Berlin,25,"1,03","3,90","2,80","3,35","0,47","2,71",,,,,"10,74","10,395","10,865","13,87","8,15","12,87","8,2575",14
Werder Bremen,739,"1,88","3,48","2,40","2,94","0,12","1,99",,,,,"-13,69","-12,000","-13,69","-8,69","-1,00","-11,69",-1,12
Wolfsburg,709,"1,84","2,36","1,95","2,15","0,24","1,92",,,,,"-10,94","-5,738","-10,955","-7,96","0,00","-9,96",-2,14
Heidenheim,17,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
,,,,,,,,,,,,"-51,79","-23,90","-51,76","10,24","3,15","-34,76","-4,71","244,00"
