Team,"Historic Score 

as of 2015/16","Historic score
Feat Scale
as of 2015/16","Average Odds
HomeWin 2016/17",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2016/17","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
""great Odds""","BIG spread
spec. bets
using ""great Odds""","SMALL spread
spec. bets
using
small spread odds",Higher Than Pinnacle,
Ein Frankfurt,451,"1,65","3,21","2,45","2,83","0,41","1,98",,,,,"-0,25","1,005","-0,23","3,77","-1,00","1,77","0,00","13,00"
FC Koln,338,"1,49","2,73","2,36","2,54","0,53","2,10",,,,,"-0,88","-1,975","-0,91","3,09","0,00","0,09","0,00","13,00"
Fortuna Dusseldorf,55,"1,08","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Freiburg,336,"1,49","3,49","2,62","3,06","0,59","2,16",,,,,"9,36","8,670","9,34","13,34","-1,00","10,34","0,00","13,00"
Greuther Furth,54,"1,08","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Hamburg,596,"1,86","3,48","2,55","3,01","0,47","1,96",,,,,"5,34","7,335","5,26","9,26","-1,00","7,26","0,00","13,00"
Hannover,561,"1,81","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Hertha,504,"1,73","2,83","2,15","2,49","0,71","1,93",,,,,"9,94","12,940","9,93","15,93","-1,00","11,93","0,00","11,00"
Hoffenheim,334,"1,48","2,34","2,10","2,22","0,65","2,04",,,,,"8,91","11,035","8,91","11,91","0,00","9,91","0,00","14,00"
Ingolstadt,61,"1,09","3,06","2,40","2,73","0,24","2,65",,,,,"-6,50","-1,390","-6,48","-3,48","-1,00","-5,48","-1,00","14,00"
Kaiserslautern,240,"1,35","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Karlsruhe,94,"1,14","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Leverkusen,639,"1,92","2,01","1,73","1,87","0,29","1,93",,,,,"-7,16","-1,465","-7,18","-2,18","0,00","-7,18","-1,00","12,00"
Mainz,428,"1,62","2,91","2,19","2,55","0,41","2,05",,,,,"-3,23","-4,405","-3,2","1,8","-1,00","-2,2","0,00","12,00"
Mgladbach,538,"1,78","2,34","1,85","2,09","0,41","1,98",,,,,"-6,16","-2,925","-6,18","-3,18","0,00","-5,18","0,00","14,00"
Munich 1860,87,"1,13","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Nurnberg,410,"1,59","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Paderborn,54,"1,08","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
RB Leipzig,22,"1,03","2,02","1,67","1,84","0,71","2,15",,,,,"6,51","4,240","6,54","7,54","0,00","6,54","-0,36","16,00"
Schalke 04,644,"1,93","2,55","2,00","2,28","0,47","1,92",,,,,"-2,36","-2,130","-2,36","4,64","0,00","-1,36","-2,00","10,00"
St Pauli,54,"1,08","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Stuttgart,602,"1,87","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Union Berlin,14,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Werder Bremen,613,"1,89","3,68","2,75","3,22","0,47","1,94",,,,,"6,48","6,480","6,45","7,45","0,00","6,45","1,00","16,00"
Wolfsburg,594,"1,86","2,59","2,05","2,32","0,29","1,96",,,,,"-6,56","-3,980","-6,57","-2,57","0,00","-6,57","-0,11","13,00"
Heidenheim,14,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
,,,,,,,,,,,,"18,17","40,61","17,78","97,78","-8,00","37,78","-2,98","226,00"
