Team,"Historic Score 

as of 2011/12","Historic score
Feat Scale
as of 2011/12","Average Odds
HomeWin 2012/13",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2012/13","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
""great Odds""","BIG spread
spec. bets
using ""great Odds""","SMALL spread
spec. bets
using
small spread odds",Higher Than Pinnacle,
Hamburg,441,"1,90","2,93","2,25","2,59","0,47","1,91",,,,,"5,77","6,770","5,77","9,77","-1,00","7,77","0,00","13,00"
Hannover,407,"1,83","2,60","2,30","2,45","0,53","1,93",,,,,"2,95","4,945","2,86","4,86","0,00","3,86","0,00","15,00"
Hertha,375,"1,76","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Hoffenheim,178,"1,36","3,23","2,40","2,82","0,29","2,36",,,,,"-3,73","-1,255","-3,75","-0,75","0,00","-1,75","-2,00","14,00"
Ingolstadt,10,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Kaiserslautern,236,"1,48","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Karlsruhe,90,"1,18","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Leverkusen,449,"1,91","1,89","1,55","1,72","0,71","1,82",,,,,"2,16","-0,835","2,105","5,105","0,00","2,105","0,99","14,00"
Mainz,261,"1,53","2,67","2,10","2,38","0,41","2,12",,,,,"-2,29","-1,090","-2,29","3,71","-1,00","-1,29","0,01","11,00"
Mgladbach,355,"1,72","2,80","2,30","2,55","0,47","2,04",,,,,"-2,28","0,717","-2,275","-0,275","0,00","-1,275","-1,00","15,00"
Munich 1860,83,"1,17","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Nurnberg,333,"1,68","2,97","2,40","2,69","0,41","2,06",,,,,"0,19","1,190","0,17","1,17","-1,00","1,17","-1,00","16,00"
Paderborn,10,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
RB Leipzig,10,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Schalke 04,458,"1,93","1,82","1,53","1,67","0,59","1,83",,,,,"0,02","0,550","0,08","4,08","0,00","0,08","0,70","13,00"
St Pauli,50,"1,10","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Stuttgart,456,"1,93","2,63","2,20","2,41","0,29","1,93",,,,,"-5,68","-4,680","-5,71","0,29","-1,00","-3,71","0,00","11,00"
Union Berlin,10,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Werder Bremen,458,"1,93","2,43","2,05","2,24","0,29","1,91",,,,,"-7,57","-6,230","-7,535","-4,535","0,00","-7,535","-3,00","14,00"
Wolfsburg,416,"1,85","2,70","2,15","2,43","0,18","1,99",,,,,"-9,53","-7,533","-9,525","-7,525","-1,00","-8,525","-1,00","15,00"
Heidenheim,10,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
,,,,"2,12","2,35",,,,,,,"-52,28","-20,93","-52,33","9,67","-10,00","-29,33","-10,41","244,00"
